State ID           Latitude                Longitude           Average Temperature
1                  33.5531                  -86.815                  16.8927
2                  64.3254                 -148.302                  28.2261
4                  32.7795                 -110.943                  66.8635
5                  34.7562                 -92.2813                  62.2518
6                   35.746                 -119.219                  61.5607
8                   39.466                 -106.089                  47.9584
9                  41.4347                 -72.9243                  52.5149
10                  39.7394                 -75.5581                  56.2976
11                  38.9218                 -77.0132                  57.1142
12                  26.9792                 -81.6382                  72.2083
13                  33.6416                  -83.885                  60.3033
15                  20.0587                 -156.213                  65.4385
16                  45.7702                 -115.871                  48.4542
17                  40.4834                 -88.3691                  51.7338
18                  40.2637                 -86.3879                  51.5238
19                  41.6866                 -91.7579                  48.7627
21                  37.6526                 -85.3527                  55.2898
22                  30.4017                  -91.054                  67.1204
23                  44.0424                 -69.0412                   47.695
24                   39.278                 -76.7662                  53.8335
25                  42.3133                 -71.2754                  50.2886
26                  42.9147                 -84.1485                  48.6475
27                  46.1346                 -92.9132                    27.54
28                  32.3291                 -90.1827                  69.7728
29                  38.7245                 -92.2098                  56.1408
30                  46.7624                 -109.082                   44.689
31                  41.2475                 -95.9731                  54.3566
32                   37.019                 -115.855                  64.6693
33                  43.1219                 -71.6228                  48.1506
34                  40.6429                 -74.6678                  52.5792
35                   33.754                 -106.983                  59.6542
36                  42.1015                 -74.8028                  50.4639
37                  35.6059                 -80.1712                  55.5225
38                  47.5179                 -102.147                  39.1215
39                  39.7239                 -82.2578                  54.0648
40                  35.8467                 -96.2177                  58.5338
41                  44.3684                 -121.696                  51.0554
42                  40.1931                 -76.7024                  56.8956
44                  41.6896                 -71.4801                  51.4612
45                  35.1314                  -81.405                  69.5509
46                  43.4831                 -100.379                  45.8416
47                  35.5942                 -84.9938                  55.3636
48                   30.478                 -97.5675                   68.008
49                  40.2409                  -111.22                  49.7214
51                  37.9015                 -78.4525                  52.2121
53                  47.2808                 -121.144                  51.0306
54                  40.2409                 -80.6503                  51.8453
55                  43.8017                 -88.9759                  47.3622
56                  42.8065                 -107.726                  42.0973
